idx,blanks,bt_time,bf_time,bt_nodes,bf_nodes,ratio
69,8,2.8399997972883284e-05,54.93394629999966,8,43046721,5380840.125
70,2,2.5200002710334957e-05,0.000367300002835691,2,81,40.5
71,7,2.7800000680144876e-05,5.686893099998997,7,4782969,683281.2857142857
72,5,2.6699999580159783e-05,0.05075339999893913,5,59049,11809.8
73,8,3.429999924264848e-05,48.06981570000062,8,43046721,5380840.125
74,7,3.719999949680641e-05,5.926066499996523,7,4782969,683281.2857142857
75,6,2.370000584051013e-05,0.5903879000034067,6,531441,88573.5
76,4,2.4900000425986946e-05,0.01078639999468578,4,6561,1640.25
77,2,7.979999645613134e-05,0.00045540000428445637,2,81,40.5
78,8,1.679999695625156e-05,51.656219699994836,8,43046721,5380840.125
79,4,2.1200001356191933e-05,0.010273599997162819,4,6561,1640.25
80,4,1.979999797185883e-05,0.009618500000215136,4,6561,1640.25
81,2,1.9999999494757503e-05,0.0003463000030023977,2,81,40.5
82,5,2.800000220304355e-05,0.06336670000018785,5,59049,11809.8
83,7,2.3100001271814108e-05,5.67292909999378,7,4782969,683281.2857142857
84,2,2.0799998310394585e-05,0.00034359999699518085,2,81,40.5
85,3,1.6999998479150236e-05,0.018678099993849173,3,729,243.0
86,8,2.390000008745119e-05,49.599740899997414,8,43046721,5380840.125
87,6,3.380000271135941e-05,0.597827600002347,6,531441,88573.5
88,3,2.3499997041653842e-05,0.004131300003791694,3,729,243.0
89,2,5.20999965374358e-05,0.0003847999978461303,2,81,40.5
90,8,2.119999408023432e-05,50.62528499999462,8,43046721,5380840.125
91,7,2.800000220304355e-05,5.378588799998397,7,4782969,683281.2857142857
92,3,2.529999619582668e-05,0.0031273999993572943,3,729,243.0
93,5,1.68999977177009e-05,0.06382749999465887,5,59049,11809.8
94,4,2.2499996703118086e-05,0.008419200006756,4,6561,1640.25
95,7,2.869999298127368e-05,5.483315500001481,7,4782969,683281.2857142857
96,5,5.3999996453057975e-05,0.13664820000121836,5,59049,11809.8
97,6,2.0499996026046574e-05,0.7735141000011936,6,531441,88573.5
98,5,6.929999653948471e-05,0.09795180000219261,5,59049,11809.8
99,6,2.4100001610349864e-05,0.7157895999989705,6,531441,88573.5
100,7,2.4900000425986946e-05,4.945789600002172,7,4782969,683281.2857142857
101,6,2.5000001187436283e-05,0.6786703000034322,6,531441,88573.5
102,4,2.4900000425986946e-05,0.011648800005787052,4,6561,1640.25
103,4,7.560000085504726e-05,0.03705900000204565,4,6561,1640.25
104,5,2.7900001441594213e-05,0.07839629999944009,5,59049,11809.8
105,7,3.1299998227041215e-05,6.02264809999906,7,4782969,683281.2857142857
106,8,2.800000220304355e-05,41.709507600004144,8,43046721,5380840.125
107,4,2.6699999580159783e-05,0.007712299993727356,4,6561,1640.25
108,4,1.679999695625156e-05,0.009260300001187716,4,6561,1640.25
109,7,2.1100000594742596e-05,4.961575100001937,7,4782969,683281.2857142857
110,6,2.2799998987466097e-05,0.5212528999982169,6,531441,88573.5
111,2,2.179999864893034e-05,0.00034840000444091856,2,81,40.5
112,5,1.2299999070819467e-05,0.053096600000571925,5,59049,11809.8
113,8,2.2400003217626363e-05,43.53777260000061,8,43046721,5380840.125
114,6,3.760000254260376e-05,0.6895436000049813,6,531441,88573.5
115,6,2.3499997041653842e-05,0.9244528999988688,6,531441,88573.5
116,6,2.2100000933278352e-05,0.7530954999965616,6,531441,88573.5
117,2,2.5500004994682968e-05,0.0003414000020711683,2,81,40.5
118,8,1.6800004232209176e-05,39.2858183999997,8,43046721,5380840.125
119,2,3.749999450519681e-05,0.00048180000158026814,2,81,40.5
120,3,1.9800005247816443e-05,0.0035923999967053533,3,729,243.0
121,8,1.8800004909280688e-05,38.306245100000524,8,43046721,5380840.125
122,5,3.440000000409782e-05,0.09339890000410378,5,59049,11809.8
123,5,1.9899998733308166e-05,0.07043549999798415,5,59049,11809.8
124,4,2.1599997126031667e-05,0.007355400004598778,4,6561,1640.25
125,6,2.7499998395796865e-05,0.5665824999960023,6,531441,88573.5
126,6,2.3499997041653842e-05,0.4907253999990644,6,531441,88573.5
127,5,2.390000008745119e-05,0.053553999998257495,5,59049,11809.8
128,4,2.1599997126031667e-05,0.010231799999019131,4,6561,1640.25
129,4,2.3799999326001853e-05,0.00848970000515692,4,6561,1640.25
130,8,1.750000228639692e-05,35.39009839999926,8,43046721,5380840.125
131,8,4.060000355821103e-05,36.2798272,8,43046721,5380840.125
132,5,3.890000516548753e-05,0.068277999998827,5,59049,11809.8
133,4,2.3100001271814108e-05,0.008074299999861978,4,6561,1640.25
134,7,1.9099999917671084e-05,4.603222800004005,7,4782969,683281.2857142857
135,8,4.649999755201861e-05,33.68381439999939,8,43046721,5380840.125
136,6,2.220000169472769e-05,0.47133230000326876,6,531441,88573.5
137,6,3.210000431863591e-05,0.4852664000063669,6,531441,88573.5
138,6,2.6400004571769387e-05,0.5719581999946968,6,531441,88573.5
139,7,2.099999983329326e-05,4.8336000999988755,7,4782969,683281.2857142857
140,2,3.440000000409782e-05,0.0003830999994534068,2,81,40.5
141,8,1.2899996363557875e-05,32.322103999998944,8,43046721,5380840.125
142,4,2.3100001271814108e-05,0.009412500003236346,4,6561,1640.25
143,8,2.0900006347801536e-05,33.10692769999878,8,43046721,5380840.125
144,5,3.809999907389283e-05,0.05524899999727495,5,59049,11809.8
145,4,1.8799997633323073e-05,0.01073779999569524,4,6561,1640.25
146,5,1.809999957913533e-05,0.05199670000001788,5,59049,11809.8
147,7,2.5800000003073364e-05,4.276354100002209,7,4782969,683281.2857142857
148,2,2.2899999748915434e-05,0.0003823999941232614,2,81,40.5
149,2,1.309999788645655e-05,0.000352700000803452,2,81,40.5
150,5,1.1399999493733048e-05,0.05406340000627097,5,59049,11809.8
